Date,Product,Color,Size,Quantity_sold,Selling_Price,Rvenue,Cost_per_unit,COGS,Profit,Key
5-Sep,heat buns,purple,large,1,19.99,19.99,4,4,15.99,heat buns-purple-large
5-Sep,heat buns,green,large,1,19.99,19.99,4,4,15.99,heat buns-green-large
5-Sep,heat buns,green,large,1,19.99,19.99,4,4,15.99,heat buns-green-large
5-Sep,heat buns,brown,large,1,19.99,19.99,4,4,15.99,heat buns-brown-large
6-Sep,heat buns,purple/pink,large/jumbo,2,39.98,79.96,3.5,7,72.96,heat buns-purple/pink-large/jumbo
6-Sep,heat buns,purple,jumbo,1,19.99,19.99,4,4,15.99,heat buns-purple-jumbo
7-Sep,heat buns,pink,mini,2,19.99,39.98,3.5,7,32.98,heat buns-pink-mini
7-Sep,flat clips 4pcs,.,.,1,7.99,7.99,6.21,6.21,1.78,flat clips 4pcs-.-.
7-Sep,flat clips 4pcs,.,.,1,7.99,7.99,6.21,6.21,1.78,flat clips 4pcs-.-.
9-Sep,single set,brown,large,1,16.99,16.99,4,4,12.99,single set-brown-large
11-Sep,heat buns,pink,large,1,19.99,19.99,3.5,3.5,16.49,heat buns-pink-large
11-Sep,full set,brown,midi,1,21.99,21.99,3.5,3.5,18.49,full set-brown-midi
14-Sep,flat clips 4pcs,.,.,1,7.99,7.99,6.21,6.21,1.78,flat clips 4pcs-.-.
15-Sep,flat clips 9pcs,.,.,2,13.99,27.98,5.54,11.08,16.9,flat clips 9pcs-.-.
19-Sep,flat clips 9pcs,.,.,1,13.99,13.99,6.21,6.21,7.78,flat clips 9pcs-.-.
19-Sep,flat clips 9pcs,.,.,1,13.99,13.99,6.21,6.21,7.78,flat clips 9pcs-.-.
8-Sep,flat clips 4pcs,.,.,1,7.99,7.99,6.21,6.21,1.78,flat clips 4pcs-.-.
1-Dec,heat buns,purple,mini,2,18.49,36.98,3,6,30.98,heat buns-purple-mini
1-Dec,full set/korean free,.,.,1,22.99,22.99,3,3,19.99,full set/korean free-.-.
7-Dec,flat clips 9pcs,.,.,1,14.99,14.99,5.54,5.54,9.45,flat clips 9pcs-.-.
7-Dec,full set/korean free,brown,jumbo,1,22.99,22.99,3,3,19.99,full set/korean free-brown-jumbo
7-Dec,heat buns,purple,jumbo,1,22.99,22.99,3,3,19.99,heat buns-purple-jumbo
7-Dec,full set,pink,midi,2,22.99,45.98,3,6,39.98,full set-pink-midi
7-Dec,heat buns,brown,jumbo,1,19.99,19.99,3,3,16.99,heat buns-brown-jumbo
7-Dec,heat buns,purple,midi,1,19.99,19.99,3,3,16.99,heat buns-purple-midi
7-Dec,flat clips 4pcs,.,.,1,8.99,8.99,5.54,5.54,3.45,flat clips 4pcs-.-.
7-Dec,full set,brown,jumbo,1,22.99,22.99,3,3,19.99,full set-brown-jumbo
7-Dec,heat buns/full set,green/purple,midi,2,21.49,42.98,3,6,36.98,heat buns/full set-green/purple-midi
7-Dec,heat buns,purple,midi,1,19.99,19.99,3,3,16.99,heat buns-purple-midi
8-Dec,heat buns/flat clips 4pcs,brown,jumbo,2,14.49,28.98,4.105,8.21,20.77,heat buns/flat clips 4pcs-brown-jumbo
8-Dec,heat buns,green,jumbo,1,19.99,19.99,3,3,16.99,heat buns-green-jumbo
13-Dec,full set,purple,large,1,22.99,22.99,3,3,19.99,full set-purple-large
13-Dec,single set,brown,large,1,16.99,16.99,3,3,13.99,single set-brown-large
16-Dec,full set,pink,large,1,22.99,22.99,3,3,19.99,full set-pink-large
16-Dec,heat buns,brown,mini,1,10,10,3,3,7,heat buns-brown-mini
19-Dec,flat clips 9pcs/scrrunchies,.,.,2,21.76,43.52,3.28,6.56,36.96,flat clips 9pcs/scrrunchies-.-.
19-Dec,flat clips 4pcs,.,.,1,8.99,8.99,5.21,5.21,3.78,flat clips 4pcs-.-.
19-Dec,flat clips 4pcs/ bowtie,.,.,2,20.98,41.96,5.37,10.74,31.22,flat clips 4pcs/ bowtie-.-.
19-Dec,flat clips 4pcs,.,.,1,8.99,8.99,5.21,5.21,3.78,flat clips 4pcs-.-.
19-Dec,flat clips 4pcs,.,.,1,8.99,8.99,5.21,5.21,3.78,flat clips 4pcs-.-.
19-Dec,flat clips 9pcs,.,.,1,14.99,14.99,5.21,5.21,9.78,flat clips 9pcs-.-.
